,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Promo2SinceDate,CompetitionOpenSinceDate,avg_cust_visit_per_day,avg_sales_per_day,avg_sales_per_customer
0,1,c,Basic,1270.0,9,2008,0,0,0,0,0,2008-09-01 00:00:00,564.0499359795134,4759.096030729834,8.437366493917459
1,2,a,Basic,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2007-11-01 00:00:00,583.9987244897959,4953.900510204082,8.482724880147646
2,3,a,Basic,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2006-12-01 00:00:00,750.0770218228498,6942.568677792041,9.255807704814226
3,4,c,Extended,620.0,9,2009,0,0,0,0,0,2009-09-01 00:00:00,1321.7525510204082,9638.401785714286,7.292137834932363
4,5,a,Basic,29910.0,4,2015,0,0,0,0,0,2015-04-01 00:00:00,537.3401797175867,4676.274711168165,8.702633615870498
5,6,a,Basic,310.0,12,2013,0,0,0,0,0,2013-12-01 00:00:00,635.2346153846154,5509.946153846154,8.673875793922294
6,7,a,Extended,24000.0,4,2013,0,0,0,0,0,2013-04-01 00:00:00,948.5610687022901,8817.050890585242,9.295185288014926
7,8,a,Basic,7520.0,10,2014,0,0,0,0,0,2014-10-01 00:00:00,658.1977040816327,5539.3584183673465,8.415949165450645
8,9,a,Extended,2030.0,8,2000,0,0,0,0,0,2000-08-01 00:00:00,579.8164313222079,6562.337612323492,11.317957301345874
9,10,a,Basic,3160.0,9,2009,0,0,0,0,0,2009-09-01 00:00:00,593.9553571428571,5568.4209183673465,9.37515059238373
10,11,a,Extended,960.0,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2011-11-01 00:00:00,1130.091836734694,8030.977040816327,7.106481774101797
11,12,a,Extended,1070.0,0,0,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,0,896.952806122449,7589.598214285715,8.461535726830212
12,13,d,Basic,310.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,382.8341384863124,5034.747181964573,13.151249263901743
13,14,a,Basic,1300.0,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",2011-10-03 00:00:00,2014-03-01 00:00:00,631.4672657252888,5508.567394094994,8.723440933661033
14,15,d,Extended,4110.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2010-03-01 00:00:00,663.4017857142857,6672.844387755102,10.058526418602327
15,16,a,Extended,3270.0,0,0,0,0,0,0,0,0,852.4774774774775,7680.683397683398,9.009837327797698
16,17,a,Basic,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",2010-06-28 00:00:00,2005-12-01 00:00:00,791.6751918158568,6335.6624040920715,8.00285580448723
17,18,d,Extended,13840.0,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",2012-04-02 00:00:00,2010-06-01 00:00:00,713.2800511508951,6560.277493606138,9.197337683874611
18,19,a,Extended,3240.0,0,0,1,22,2011,"Mar,Jun,Sept,Dec",2011-05-30 00:00:00,0,624.6700898587933,6464.915275994866,10.349327398493275
19,20,d,Basic,2340.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2009-05-01 00:00:00,848.5589660743134,7756.9353796445885,9.141303892563274
20,21,c,Extended,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",2009-11-09 00:00:00,1999-10-01 00:00:00,516.3616473616473,5482.320463320463,10.61721080822406
21,22,a,Basic,1040.0,0,0,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,0,504.2471728594507,4525.857835218094,8.975474883782027
22,23,d,Basic,4060.0,8,2005,0,0,0,0,0,2005-08-01 00:00:00,482.43645699614893,5520.281129653402,11.442504084423843
23,24,a,Extended,4590.0,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",2011-10-03 00:00:00,2000-03-01 00:00:00,835.4300385109115,9388.28626444159,11.23766902274124
24,25,c,Basic,430.0,4,2003,0,0,0,0,0,2003-04-01 00:00:00,1566.186170212766,11139.038563829787,7.112205927802664
25,26,d,Basic,2300.0,0,0,0,0,0,0,0,0,556.0728900255755,6671.695652173913,11.99787972376618
26,27,a,Basic,60.0,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",2011-01-31 00:00:00,2005-01-01 00:00:00,1074.7586649550706,9478.57381258023,8.819257868441074
27,28,a,Basic,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",2015-02-09 00:00:00,2014-10-01 00:00:00,581.3177691309987,5293.060959792478,9.105279832930236
28,29,d,Extended,2170.0,0,0,0,0,0,0,0,0,653.7008985879332,7364.775353016688,11.266276930206802
29,30,a,Basic,40.0,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2014-02-01 00:00:00,777.1274131274131,5294.782496782497,6.81327464112297
30,31,d,Extended,9800.0,7,2012,0,0,0,0,0,2012-07-01 00:00:00,586.0510204081633,5862.427295918367,10.003271202966936
31,32,a,Basic,2910.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,477.1867954911433,4067.8212560386473,8.52458889155106
32,33,a,Extended,1320.0,5,2013,0,0,0,0,0,2013-05-01 00:00:00,836.3093709884467,8436.659820282413,10.087965187226107
33,34,c,Basic,2240.0,9,2009,0,0,0,0,0,2009-09-01 00:00:00,993.4591836734694,8031.485969387755,8.084364311465812
34,35,d,Extended,7660.0,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2000-10-01 00:00:00,729.6546854942234,9703.071887034659,13.298169778026427
35,36,a,Extended,540.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2003-06-01 00:00:00,1090.3183279742766,9363.638263665594,8.58798575005382
36,37,c,Basic,4230.0,12,2014,0,0,0,0,0,2014-12-01 00:00:00,781.0910256410257,7114.170512820513,9.107991615934976
37,38,d,Basic,1090.0,4,2007,0,0,0,0,0,2007-04-01 00:00:00,535.3453145057766,6004.643132220795,11.21639242843509
38,39,a,Basic,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov",2013-08-05 00:00:00,2006-10-01 00:00:00,629.6161745827984,4852.571245186136,7.707189619773647
39,40,a,Basic,180.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,663.8208762886597,4902.3389175257735,7.385032759039069
40,41,d,Extended,1180.0,0,0,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,0,397.959807073955,5335.059485530546,13.406025911905981
41,42,a,Extended,290.0,0,0,1,40,2011,"Jan,Apr,Jul,Oct",2011-10-03 00:00:00,0,1100.0487804878048,10178.136071887035,9.252440666652664
42,43,d,Basic,4880.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,0,610.1591784338896,6822.9139922978175,11.182186933269376
43,44,a,Basic,540.0,6,2011,0,0,0,0,0,2011-06-01 00:00:00,640.0586734693877,5478.5,8.55937154996154
44,45,d,Basic,9710.0,2,2014,0,0,0,0,0,2014-02-01 00:00:00,415.38125802310657,5348.469833119384,12.876049965696485
45,46,c,Basic,1200.0,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2005-09-01 00:00:00,660.5016077170418,5352.290996784566,8.103373154963586
46,47,a,Extended,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2013-04-08 00:00:00,2013-04-01 00:00:00,920.6505102040817,7145.102040816327,7.760927693650507
47,48,a,Basic,1060.0,5,2012,0,0,0,0,0,2012-05-01 00:00:00,429.2334183673469,3934.966836734694,9.167428882173072
48,49,d,Extended,18010.0,9,2007,0,0,0,0,0,2007-09-01 00:00:00,531.7078507078508,7304.113256113256,13.737079951686727
49,50,d,Basic,6260.0,11,2009,0,0,0,0,0,2009-11-01 00:00:00,358.7997432605905,4256.070603337613,11.86196669111465
50,51,a,Extended,10570.0,7,2013,1,9,2011,"Jan,Apr,Jul,Oct",2011-02-28 00:00:00,2013-07-01 00:00:00,496.9871382636656,6675.286173633441,13.431506893629136
51,52,d,Extended,450.0,4,2014,1,39,2010,"Jan,Apr,Jul,Oct",2010-09-27 00:00:00,2014-04-01 00:00:00,503.4983922829582,7407.945337620578,14.71294735228753
52,53,a,Extended,30360.0,9,2013,0,0,0,0,0,2013-09-01 00:00:00,566.7091836734694,5264.807397959184,9.29013954535224
53,54,d,Extended,7170.0,8,2014,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,2014-08-01 00:00:00,730.4789808917197,7907.538853503184,10.825142215386117
54,55,a,Basic,720.0,11,2004,0,0,0,0,0,2004-11-01 00:00:00,558.9641025641025,4598.989743589744,8.227701425714233
55,56,d,Extended,6620.0,3,2012,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2012-03-01 00:00:00,506.93854033290654,7321.754161331626,14.443080529098124
56,57,d,Extended,420.0,6,2014,0,0,0,0,0,2014-06-01 00:00:00,988.5207792207792,10591.73116883117,10.714727895937916
57,58,a,Extended,7340.0,5,2008,1,27,2012,"Jan,Apr,Jul,Oct",2012-07-02 00:00:00,2008-05-01 00:00:00,513.1476725521669,6336.158908507223,12.347632557688518
58,59,a,Extended,2840.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2007-06-01 00:00:00,564.0153452685422,5501.312020460358,9.753833945494945
59,60,d,Extended,5540.0,10,2009,0,0,0,0,0,2009-10-01 00:00:00,713.473076923077,8033.087179487179,11.2591314785565
60,61,a,Extended,350.0,12,2007,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2007-12-01 00:00:00,571.7387387387388,4722.005148005148,8.259026069183168
61,62,a,Basic,2050.0,0,0,0,0,0,0,0,0,717.9833119383825,6503.86649550706,9.058520424309283
62,63,c,Extended,3700.0,6,2010,1,18,2010,"Feb,May,Aug,Nov",2010-05-03 00:00:00,2010-06-01 00:00:00,638.8520408163265,6956.3877551020405,10.888887114163639
63,64,d,Extended,22560.0,0,0,1,14,2013,"Jan,Apr,Jul,Oct",2013-04-08 00:00:00,0,792.8536585365854,10359.525032092426,13.066125028941135
64,65,a,Extended,13840.0,5,2010,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2010-05-01 00:00:00,455.9,5112.8948717948715,11.214948172394982
65,66,d,Basic,7660.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,0,524.056628056628,6114.360360360361,11.667365763570995
66,67,a,Extended,410.0,2,2006,0,0,0,0,0,2006-02-01 00:00:00,798.3230373230373,7828.930501930502,9.806720006706465
67,68,a,Extended,250.0,0,0,1,35,2012,"Mar,Jun,Sept,Dec",2012-08-27 00:00:00,0,1151.954081632653,7563.252551020408,6.565585097195094
68,69,c,Extended,1130.0,0,0,1,40,2011,"Jan,Apr,Jul,Oct",2011-10-03 00:00:00,0,1183.663252240717,9426.451984635083,7.963795417987736
69,70,c,Extended,4840.0,0,0,0,0,0,0,0,0,679.0971867007672,6608.028132992327,9.730607433519003
70,71,a,Basic,17500.0,8,2008,1,37,2009,"Mar,Jun,Sept,Dec",2009-09-14 00:00:00,2008-08-01 00:00:00,746.9204107830552,9061.09756097561,12.131275876470092
71,72,a,Basic,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2009-12-01 00:00:00,474.86035313001605,4420.025682182985,9.30805373211014
72,73,a,Extended,1650.0,9,2008,0,0,0,0,0,2008-09-01 00:00:00,494.13520408163265,4576.978316326531,9.262603187386746
73,74,a,Basic,330.0,0,0,0,0,0,0,0,0,854.2229381443299,6256.630154639175,7.324352783397221
74,75,d,Extended,22440.0,12,2013,0,0,0,0,0,2013-12-01 00:00:00,642.140306122449,6023.4540816326535,9.38027721387738
75,76,d,Extended,19960.0,3,2006,0,0,0,0,0,2006-03-01 00:00:00,928.0963081861959,8999.54735152488,9.696781758687244
76,77,d,Extended,1090.0,8,2009,1,10,2014,"Jan,Apr,Jul,Oct",2014-03-10 00:00:00,2009-08-01 00:00:00,662.8335467349552,7621.489116517286,11.498345480641254
77,78,a,Basic,3510.0,11,2006,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,2006-11-01 00:00:00,494.85897435897436,3717.473076923077,7.512186844218762
78,79,a,Basic,3320.0,0,0,0,0,0,0,0,0,560.4877734877734,5474.240669240669,9.766922541727995
79,80,d,Basic,7910.0,0,0,0,0,0,0,0,0,577.7458279845956,7616.2734274711165,13.18274067688151
80,81,a,Basic,2370.0,3,2011,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2011-03-01 00:00:00,561.4983922829582,6985.688102893891,12.441154238200497
81,82,a,Basic,22390.0,4,2008,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,2008-04-01 00:00:00,838.5596919127086,9019.653401797175,10.756125638741164
82,83,a,Basic,2710.0,0,0,0,0,0,0,0,0,345.8395378690629,3887.7060333761233,11.241357935332525
83,84,a,Extended,11810.0,8,2014,0,0,0,0,0,2014-08-01 00:00:00,1392.3106546854942,12955.997432605905,9.30539272180784
84,85,b,Basic,1870.0,10,2011,0,0,0,0,0,2011-10-01 00:00:00,1015.4012738853503,7272.454352441614,7.162148147218843
85,86,a,Basic,480.0,2,2005,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,2005-02-01 00:00:00,604.9601542416452,4695.021850899743,7.760877832995864
86,87,a,Basic,560.0,12,2010,0,0,0,0,0,2010-12-01 00:00:00,737.4477040816327,5865.161989795918,7.953325988179722
87,88,a,Basic,10690.0,10,2005,0,0,0,0,0,2005-10-01 00:00:00,613.4910256410257,6024.433333333333,9.819920881545924
88,89,a,Basic,2380.0,7,2004,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2004-07-01 00:00:00,624.1752411575562,5971.33922829582,9.566767206628942
89,90,a,Basic,330.0,11,2007,0,0,0,0,0,2007-11-01 00:00:00,1057.060411311054,8416.768637532134,7.962429154917418
90,91,c,Basic,2410.0,0,0,1,35,2011,"Jan,Apr,Jul,Oct",2011-08-29 00:00:00,0,613.9305912596401,5559.002570694088,9.054773698910054
91,92,c,Basic,240.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,547.0577663671373,5996.684210526316,10.961701997850563
92,93,a,Basic,16690.0,0,0,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,0,603.5545571245186,5965.175866495507,9.883407880995982
93,94,d,Extended,14620.0,0,0,0,0,0,0,0,0,640.1437740693196,7121.14377406932,11.124288109218083
94,95,a,Basic,1890.0,10,2014,0,0,0,0,0,2014-10-01 00:00:00,843.7192307692308,7638.54358974359,9.053418852121483
95,96,a,Basic,8780.0,2,2005,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,2005-02-01 00:00:00,542.774358974359,5176.888461538461,9.537827968367646
96,97,d,Extended,8980.0,0,0,0,0,0,0,0,0,688.8307692307692,6703.3961538461535,9.73155737704918
97,98,d,Extended,15140.0,12,2006,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2006-12-01 00:00:00,451.5853658536585,5109.863928112965,11.315388660687637
98,99,c,Extended,2030.0,11,2003,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,2003-11-01 00:00:00,465.5209003215434,5130.520900321543,11.0210323462981
99,100,d,Basic,17930.0,0,0,0,0,0,0,0,0,686.2194719471947,7964.412541254125,11.60621764149968
100,101,d,Extended,2440.0,0,0,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,0,777.155612244898,7469.877551020408,9.611817032939978
101,102,a,Basic,150.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2007-12-01 00:00:00,1048.9857328145265,7061.162127107653,6.731418651578698
